rating,genres,description,title,imdb_id,director,length,number_of_rating,year,img,weighted_rating
4.5,Adventure,"Enraged by the murder of it's offspring, a Bigfoot rampages through the countryside of Southeast Ohio...",Kampout,/title/tt4827442/,Glenn Martin,,6,2016,"http://ia.media-imdb.com/images/M/MV5BMTYyMjg1NTQzOF5BMl5BanBnXkFtZTgwNzQxMTE5NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.38095
5.9,"Drama,Family",The young girl Lora has to change her life to survive.,Zhaleika,/title/tt5360804/,Eliza Petkova,92 mins.,17,2016,"http://ia.media-imdb.com/images/M/MV5BM2NlMDllMmYtYjM2Zi00Mzk0LWI3ZjYtOWJjYWMxOGViZTM0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY268_CR147,0,182,268_AL_.jpg",3.3804
6.5,"Horror,Sci-Fi,Thriller","An American military satellite crash lands in Eastern Serbia and a team of US and Serbian agents are dispatched to secure the remains of the satellite, but when they locate the crash site all is not as it seems.",The Rift,/title/tt4509840/,Dejan Zecevic,90 mins.,58,2016,"http://ia.media-imdb.com/images/M/MV5BY2VlYmY2NWYtMTI5YS00YTllLWI0NmQtMTk1MTY1NThmZjNlXkEyXkFqcGdeQXVyMjQwODU1MA@@._V1_UY268_CR2,0,182,268_AL_.jpg",3.38015
6.3,Drama,"Two people meet again after more than 50 years. They were lovers once, but their lives took different turns: she married his best friend...",Achter de wolken,/title/tt4440488/,Cecilia Verheyden,,34,2016,"http://ia.media-imdb.com/images/M/MV5BMjQxMjMwNzY2Ml5BMl5BanBnXkFtZTgwMDIxMzAzNzE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.3799
6.4,Drama,"Alba, 11 years old, passes her days in silence. She loves little animals. She has learned to cope with her mother's illness...",Alba,/title/tt4572682/,Ana Cristina Barragán,,44,2016,Not Available,3.3798
5.7,Drama,"""37"" is a powerful drama and a fictional account of the night Kitty Genovese was murdered in 1964, Kew Gardens...",37,/title/tt4882174/,Puk Grasten,85 mins.,15,2016,"http://ia.media-imdb.com/images/M/MV5BMjdiOGRmM2UtNTIwOC00Mjk2LTgyNmItYzVmZmQ1YzMxYmI2XkEyXkFqcGdeQXVyNjY1NjI3MTY@._V1_UY268_CR71,0,182,268_AL_.jpg",3.37975
6.4,Comedy,Mirko Talhammer is beyond himself when two strange guys show up in his noble insurance office and remind...,Schrotten!,/title/tt5113028/,Max Zähle,95 mins.,45,2016,"http://ia.media-imdb.com/images/M/MV5BNmQzMDY4YjctNTJlMC00ODJjLTg3ODMtMDc5ZDgwNmYyNWQ4XkEyXkFqcGdeQXVyMzA4NDQxMDE@._V1_UY268_CR3,0,182,268_AL_.jpg",3.37965
5.8,"Action,Drama,War",Second Lieutenant Han Sang-Yeok (Si Wan) leads his platoon during the Korean War in the early 1950s...,Thinking of My Older Brother,/title/tt5093754/,Han Lee,124 mins.,17,2016,"http://ia.media-imdb.com/images/M/MV5BYzMyZmU2MWUtMDQ2YS00Y2JjLTkzY2QtYTRjMzc2MzBhNzM4XkEyXkFqcGdeQXVyNDU2MDY1NjE@._V1_UY268_CR3,0,182,268_AL_.jpg",3.37955
6.7,"Comedy,Drama","In the early 1970s, with Greece under the rule of a military junta, pre-teen Stavros discovers a strange...",Notias,/title/tt4669210/,Tassos Boulmetis,99 mins.,279,2016,"http://ia.media-imdb.com/images/M/MV5BOGEyNjYxYjYtNGExNS00MjE0LTkwMWYtYzk0OGU5YmE1ODNlXkEyXkFqcGdeQXVyNTMzMTcxNjA@._V1_UY268_CR123,0,182,268_AL_.jpg",3.3795
6,Drama,Heather returns to her hometown when her father becomes ill and is pressured into filming her former best friend's wedding.,Happily Ever After,/title/tt3326096/,Joan Carr-Wiggin,112 mins.,22,2016,"http://ia.media-imdb.com/images/M/MV5BMTEzMDI5MzkyODReQTJeQWpwZ15BbWU4MDM1MDQxODcx._V1_UY268_CR13,0,182,268_AL_.jpg",3.37935
6,Drama,"Dreaming of fame and fortune, a local Denver performer hires two indie filmmakers to come to town and make a film with him as the star.",Actor Martinez,/title/tt4411500/,Mike Ott,75 mins.,22,2016,"http://ia.media-imdb.com/images/M/MV5BYmI1NzU0MmEtNzU0ZC00ZjViLTkyYTUtNWM0MjZlNTRlODI3XkEyXkFqcGdeQXVyMjY0MDgyOA@@._V1_UY268_CR3,0,182,268_AL_.jpg",3.37935
5.7,"Comedy,Horror",A thief pockets a mobile phone without realizing that something sinister has made the device its home.,Hello Naan Pei Pesuren,/title/tt5597852/,S. Baskar,110 mins.,16,2016,"http://ia.media-imdb.com/images/M/MV5BMGU3NjNjYWQtYzUwMC00NDAxLTk0Y2YtMjAxNzNiMGIxODc1XkEyXkFqcGdeQXVyNjYyMTcwODE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.37925
6.5,,The compelling story of a woman who has lost her son and develops an unorthodox relationship with a homeless youth...,Mammal,/title/tt3777860/,Rebecca Daly,96 mins.,66,2016,"http://ia.media-imdb.com/images/M/MV5BMTc2Mjg4OTE3MV5BMl5BanBnXkFtZTgwNDg0ODkzNzE@._V1_UY268_CR157,0,182,268_AL_.jpg",3.3792
4.6,Horror,Pi Day Die Day centers around Euclid High School in a small Ohio town when a serial killer begins murdering kids from the school.,Pi Day Die Day,/title/tt4791458/,Michael E. Cullen II,92 mins.,8,2016,"http://ia.media-imdb.com/images/M/MV5BOTRjNGYzNTQtNDgyMC00M2RmLWFjNzktMzUzZGNiOTRkM2UwXkEyXkFqcGdeQXVyMjk3MDc2MDc@._V1_UY268_CR147,0,182,268_AL_.jpg",3.3791
6.2,Family,A boy rises to the occasion with his best friend (a lovable talking dog) to save his home and family.,Timber the Treasure Dog,/title/tt4030354/,Ari Novak,89 mins.,31,2016,"http://ia.media-imdb.com/images/M/MV5BMjk4ODQxOTEzNF5BMl5BanBnXkFtZTgwMDg4OTM2NzE@._V1_UY268_CR9,0,182,268_AL_.jpg",3.37905
